Ciutat,Variació mensual,Variació tres messos,Variació anual,€/m2,Menos 60 m2 / Menos de 100.000 Euros,Menos 60 m2 / Entre 100.000 Euros y 250.000 Euros,Menos 60 m2 / Más de 250.000 euros,Entre 60 m2 y 120 m2 / Menos de 100.000 Euros,Entre 60 m2 y 120 m2 / Entre 100.000 Euros y 250.000 Euros,Entre 60 m2 y 120 m2 / Más de 250.000 Euros,Más de 120 m2 / Menos de 100.000 euros,Más de 120 m2 / Entre 100.000 euros y 250.000 euros,Más de 120 m2 / Más de 250.000 euros
Montcada i Reixac,-2.01,-3.55,0.02,2.087 ,-,-,-,-,2.126 ,2.891 ,-,-,1.870 
Olesa de Montserrat,-3.13,-5.14,-1.10,1.809 ,-,-,-,-,1.889 ,-,-,-,1.542 
Olivella,-,-,-1.94,1.358 ,-,-,-,-,-,-,-,1.068 ,1.362 
Palafolls,-,-4.18,-8.96,1.543 ,-,-,-,-,1.788 ,-,-,1.225 ,1.414 
Piera,2.09,-1.48,-1.22,1.301 ,-,-,-,-,1.718 ,-,-,1.128 ,1.301 
Pineda de Mar,0.88,1.56,2.59,1.767 ,1.978 ,2.410 ,-,1.209 ,1.844 ,-,-,1.379 ,1.629 
Premià de Dalt,-0.14,-5.09,3.13,2.233 ,-,-,-,-,-,-,-,-,2.217 
Premià de Mar,1.94,2.20,1.09,2.342 ,-,-,-,-,2.280 ,2.963 ,-,-,2.093 
Ripollet,-1.35,-0.16,1.29,2.118 ,-,-,-,-,2.064 ,2.888 ,-,-,1.795 
Rubí,-3.53,-6.35,-3.20,1.909 ,-,2.586 ,-,1.294 ,2.041 ,2.941 ,-,1.374 ,1.678 
Sabadell,0.75,0.44,-2.75,2.044 ,1.600 ,2.803 ,-,1.207 ,2.029 ,3.032 ,-,1.443 ,2.019 
Santa Coloma de Gramenet,-0.50,1.38,0.51,2.113 ,1.653 ,2.528 ,-,1.366 ,2.111 ,3.044 ,-,-,2.041 
Sant Andreu de Llavaneres,-2.10,0.75,-7.91,2.482 ,-,-,-,-,2.396 ,3.075 ,-,-,2.454 
Santa Perpètua de Mogoda,2.29,6.32,2.82,2.130 ,-,-,-,-,2.230 ,-,-,-,1.927 
Santa Susanna,-,4.22,-,1.809 ,-,-,-,-,2.232 ,-,-,-,1.684 
Sant Boi de Llobregat,1.77,3.53,-0.22,2.356 ,-,2.701 ,-,-,2.291 ,3.080 ,-,-,2.036 
Sant Celoni,-0.87,1.06,9.57,1.781 ,-,-,-,-,1.958 ,-,-,1.354 ,1.642 
Sant Cugat del Vallès,-0.95,0.46,5.39,3.719 ,-,-,-,-,-,4.508 ,-,-,3.266 
Sant Feliu de Llobregat,-,2.48,-,2.785 ,-,-,-,-,2.417 ,3.335 ,-,-,2.883 
Sant Pere de Ribes,1.08,-0.18,3.23,2.109 ,-,-,-,-,1.931 ,3.378 ,-,1.373 ,2.103 
Sant Quirze del Vallès,-0.82,-3.93,-5.33,2.255 ,-,-,-,-,2.048 ,3.210 ,-,-,2.214 
Sant Vicenç de Montalt,-2.76,-,-,2.829 ,-,-,-,-,-,-,-,-,2.791 
Sentmenat,-,-4.68,-,1.536 ,-,-,-,-,1.850 ,-,-,1.259 ,1.337 
Sitges,0.86,-0.50,-1.97,3.686 ,-,4.289 ,-,-,2.957 ,4.167 ,-,-,3.369 
Terrassa,0.28,-2.42,-0.62,1.827 ,1.676 ,2.584 ,-,1.127 ,1.944 ,2.857 ,-,1.242 ,1.740 
Tona,-,-,-4.50,1.514 ,-,-,-,-,1.679 ,-,-,1.227 ,1.738 
Tordera,-0.06,1.83,3.22,1.394 ,1.816 ,-,-,1.134 ,1.611 ,-,-,1.081 ,1.432 
Vallirana,-1.97,-3.89,-7.79,1.710 ,-,-,-,-,2.150 ,-,-,1.408 ,1.505 
Vic,-2.67,2.05,-2.70,1.851 ,-,-,-,-,1.859 ,-,-,1.166 ,2.054 
Viladecans,-1.47,-1.16,1.19,2.445 ,-,-,-,-,2.329 ,2.938 ,-,-,2.239 
